SMILES,pIC50
O=C1C(CC2=CC=NC=C2)CC3=C(OC)C=CC=C31,4.854
O=C1C(CC2=CC=NC=C2)CC3=CC(OC)=CC=C31,5.469
O=C1C(CC2=CC=NC=C2)CC3=C(O)C=CC=C31,5.377
O=C1C(CC2=CC=NC=C2)CC3=CC(O)=CC=C31,5.032
C12=CC=CC=C1CC(CC3=CC=NC=C3)C2,5.62
COC1=C(CC(CC2=CC=NC=C2)C3)C3=CC=C1,5.194
COC1=CC=C2C(CC(CC3=CC=NC=C3)C2)=C1,6.62
OC1=C(CC(CC2=CC=NC=C2)C3)C3=CC=C1,6.0
OC1=CC=C2C(CC(CC3=CC=NC=C3)C2)=C1,5.721
C12=CC=CC=C1CC(CC3=CC=NC=C3)CC2,5.921
COC1=C(CCC(CC2=CC=NC=C2)C3)C3=CC=C1,6.229
COC1=CC=C2C(CCC(CC3=CC=NC=C3)C2)=C1,6.638
COC1=CC=C(CCC(CC2=CC=NC=C2)C3)C3=C1,5.367
OC1=C(CCC(CC2=CC=NC=C2)C3)C3=CC=C1,6.276
OC1=CC=C2C(CCC(CC3=CC=NC=C3)C2)=C1,6.125
OC1=CC=C(CCC(CC2=CC=NC=C2)C3)C3=C1,5.886
[H][C@@]1(C2=CC=C(C#N)C=C2)CCCC3=CN=CN13,8.49
[H][C@]1(C2=CC=C(C#N)C=C2)CCCC3=CN=CN13,6.17
C=C(N1C=NC=C1)C2=CC=C(C#N)C=C2,9.15
N#CC(C=C1)=CC2=C1C(N3C=NC=C3)=CCC2,8.54
N#CC(C=C1)=CC=C1C2(C3=CC=C(C#N)C=C3)CCCC4=CN=CN24,6.63
[H]C(C1=CC=C(C#N)C=C1)(N2C=NC=C2)C3=CC=C(C#N)C=C3,8.46
BrC(C=C1)=CC=C1/N=C(N2C=NC=C2)\C3=CC=C(C#N)C=C3,8.11
N#CC(C=C1)=C2C(C=CC=C2)=C1CN3C=NC=C3,8.7
CC1=C(C)OC2=C(C#N)C=CC(CN3C=NC=C3)=C21,8.46
N#CC1=CC=CC=C1CN2C=NC=C2,6.52
BrC(C=C1)=CC=C1CN2C=NC=C2,7.07
O=C(C(C=C1)=CC=C1CN2C=NC=C2)C3=CC=CC=C3,8.0
O=[N+](C(C=C1)=CC=C1CN2C=NC=C2)[O-],8.26
N#CC(C=C1)=CC=C1CN2C=NC=C2,8.0
CC(C1=CC=C(C#N)C=C1)(C)N2C=NC=C2,7.68
N#CC(C=C1)=CC=C1C2(CCCC2)N3C=NC=C3,8.12
N#CC(C=C1)=CC=C1C(C2=CC=C(C#N)C=C2)N3C=NC=N3,7.96
N#CC(C=C1)=CC=C1C(C2=CC=C(C#N)C=C2)N3N=NC=C3,7.92
N#CC(C=C1)=CC=C1C(C2=CC=C(C#N)C=C2)N3N=NC=N3,9.0
N#CC(C=C1)=CC=C1C(C2=CN=CN=C2)C3=CC=C(C#N)C=C3,7.15
N#CC(C=C1)=CC=C1C(C2=CN=CC=C2)C3=CC=C(C#N)C=C3,7.91
N#CC(C=C1)=CC=C1/C(N2C=NC=N2)=C3CCCCC/3,7.67
N#CC(C=C1)=CC=C1C(N2C=NC=N2)(CC)C3=CC=C(C#N)C=C3,7.74
FC(C1=CC=C(C#N)C=C1)(N2C=NC=N2)C3=CC=C(C#N)C=C3,7.89
FC(C1=CC=C(C#N)C=C1)(N2N=NC=C2)C3=CC=C(C#N)C=C3,7.68
FC(C1=CC=C(C#N)C=C1)(N2N=NC=N2)C3=CC=C(C#N)C=C3,7.52
FC(C1=CC=C(C#N)C=C1)(N2C=NC=C2)C3=CC=C(C#N)C=C3,8.24
O=C1C2=C(C=CC=C2)CC/C1=C\C3=CC=NC=C3,5.03
O=C1C2=C(C(OC)=CC=C2)CC/C1=C\C3=CC=NC=C3,5.2
O=C1C2=C(C=C(OC)C=C2)CC/C1=C\C3=CC=NC=C3,5.05
O=C1C2=C(C(O)=CC=C2)CC/C1=C\C3=CC=NC=C3,6.16
O=C1C2=C(C=C(O)C=C2)CC/C1=C\C3=CC=NC=C3,5.06
O=C1C2=C(C=CC=C2)CC/C1=C/C3=CC=NC=C3,4.92
O=C1C2=C(C(CCCC3)=C3C=C2)CC/C1=C\C4=CC=NC=C4,5.0
O=C1C2=C(C=CC(OC)=C2)CC/C1=C\C3=CC=NC=C3,5.02
O=C1C2=C(C=CC(O)=C2)CC/C1=C\C3=CC=NC=C3,6.68
O=C1C2=C(C=CC=C2)C/C1=C([H])\C3=CC=NC=C3,4.6
O=C1C2=C(C=CC=C2)C/C1=C(C3=CC=NC=C3)\[H],5.26
O=C1C2=C(C(OC)=CC=C2)C/C1=C(C3=CC=NC=C3)/[H],4.64
O=C1C2=C(C(OC)=CC=C2)C/C1=C(C3=CC=NC=C3)\[H],5.43
O=C1C2=C(C=C(OC)C=C2)C/C1=C(C3=CC=NC=C3)/[H],5.32
O=C1C2=C(C=C(OC)C=C2)C/C1=C([H])/C3=CC=NC=C3,5.2
O=C1C2=C(C=C(O)C=C2)C/C1=C(C3=CC=NC=C3)/[H],4.66
ClC1=CC=C(C(N2C=NC=C2)C3=CC=C(N=CN4)C4=C3)C=C1,7.35
ClC1=CC=C(C(N2C=NC=N2)([H])C3=CC=C(N=NN4C)C4=C3)C=C1,8.85
[H]C(C1=CC=C(Cl)C=C1)(N2C=NC=N2)C3=CC(N=NN4C)=C4C=C3,8.4
CC(C)(C1=CC=C(CN(N2C=NC=C2)CC3=CC=CC4=C3C=CC=C4)C=C1)C,5.338
ClC1=CC=C(CN(N2C=NC=C2)CC3=CC=CC4=C3C=CC=C4)C(Cl)=C1,5.398
CC(C)(C)C(C=C1)=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,5.666
N1(N(CC2=CC=CC=C2)CC3=CC=C(C4=CC=CC=C4)C=C3)C=NC=C1,5.921
CC1=CC=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,5.529
ClC1=CC=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,6.523
FC1=CC=CC=C1CN(CC2=CC=C(C3=CC=CC=C3)C=C2)N4C=NC=C4,6.337
