nN,AATS8dv,AATS5d,AATS1Z,AATS5Z,AATS8Z,AATS1m,AATS5m,AATS8m,AATS0v,AATS5v,AATS8v,AATS3p,AATS4p,AATS5p,AATS8p,GATS3s,BertzCT,nBondsT,PNSA1,C1SP1,MZ,Mm,Mv,Mp,NtsC,NtN,NaaN,NaasN,StsC,StN,SaaN,SaasN,ETA_beta,ETA_beta_ns,MIC1,MIC2,MIC3,MIC4,MIC5,PEOE_VSA3,PEOE_VSA4,SMR_VSA2,SMR_VSA3,MID_N,AMID_N,piPC7,n5aRing,n5aHRing,AMW
0.0,1.164179104477612,2.2196261682243,21.647058823529413,9.36448598130841,6.746268656716418,80.64679970588233,30.46971667757009,20.18479965671641,198.0035587361359,127.05797642887669,78.93409668769495,1.386256643445205,1.218153274005446,1.0612080329463738,0.6845843790233433,0.9154760545539968,577.2293702335213,0.0,140.73729385085522,0.0,0.5694444444444443,0.5245434740376878,0.5872533075513945,0.6421234780439121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,4.0,27.2003284611207,33.31546590578797,34.59333478930303,34.63533478930303,34.63533478930303,0.0,0.0,0.0,0.0,0.0,0.0,5.556828061699537,0.0,0.0,6.295587389416681
0.0,3.0,2.398373983739837,25.953488372093023,15.21951219512195,16.01851851851852,98.45193239534892,52.49929382113822,56.66814579629629,225.9744925658632,177.67992431307417,153.37733880243408,1.4855873469937697,1.6380708966837605,1.4529994758478209,1.099319714241426,0.8913051325709633,626.2372832389935,0.0,222.6162741155156,0.0,0.6666666666666666,0.6272325764874263,0.6368983358049102,0.6943521528371829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,11.5,33.20420738354979,39.67036263189516,40.18659723199901,40.18659723199901,40.18659723199901,0.0,0.0,0.0,0.0,0.0,0.0,5.78976902113083,0.0,0.0,7.526507511904774
0.0,3.0510204081632653,2.1746724890829694,23.14814814814815,10.262008733624452,13.29591836734694,86.91664177777776,33.74023041921397,45.38160396938776,203.14645637279543,127.835096587671,136.31572396686826,1.4214584320917598,1.1943691151780145,1.0286152021420265,0.9902995978084184,0.6322295975555973,677.5739978069821,0.0,216.0876463513013,0.0,0.6078431372549019,0.5655322490331575,0.6003481759078555,0.6427922742749794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75,5.0,32.175948824785884,37.0133509379033,38.06589707916528,38.06589707916528,38.06589707916528,9.589074368143644,0.0,0.0,0.0,0.0,0.0,5.468060141135132,0.0,0.0,6.787804390823542
0.0,2.8404255319148937,2.954022988505747,25.066666666666663,19.60919540229885,15.308510638297872,95.10763548888896,69.71835834482762,54.01629992553192,216.8937223157428,198.3423857478909,157.70540690847264,1.276443770426875,1.3031134874240002,1.3102317238850576,1.1519623627673512,1.006591867183814,818.1041719048937,0.0,199.98223473952004,0.0,0.6666666666666666,0.6288780738868158,0.6297061969172696,0.6560677735438216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.75,14.0,31.29910294537043,36.11362070246863,37.44991448888183,38.04168721615456,39.31486903433637,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.719201844311664,0.0,0.0,7.548317917272738
2.0,10.0,1.933333333333333,24.032258064516128,11.077777777777778,24.0,90.8289295806451,36.52926991111112,85.45065899999999,214.559504779902,132.17239781680323,131.1617313975464,1.3881110656866835,1.2941188599372524,1.0495643433152884,0.6505786573333333,1.0183775554588954,416.2867539129217,0.0,138.12265542980597,0.0,0.6444444444444446,0.6057114311880774,0.6246106655811111,0.6622575249501002,0.0,0.0,1.0,0.0,0.0,0.0,3.9469683799445705,0.0,19.0,9.0,31.00242514073494,34.0690462410984,35.337246241098406,35.337246241098406,35.337246241098406,0.0,0.0,0.0,10.30076712495354,3.988834154705996,0.2493021346691247,5.008549787605235,0.0,0.0,7.270184256266666
2.0,1.3846153846153846,2.0103092783505154,23.205882352941178,10.690721649484535,8.076923076923077,87.18309099999999,35.17761786597938,22.86228253846153,209.77180406085608,132.76138099959718,90.58231637862504,1.390519129192714,1.2542589237679571,1.0634951663687835,0.738241185492,1.0060648348761272,452.9921961003296,0.0,171.2194348219932,0.0,0.6262626262626263,0.5860360326266579,0.6145499324611884,0.6565539466521504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,9.5,28.908561000353764,33.78109310984118,35.117274928023,35.117274928023,35.117274928023,0.0,0.0,0.0,5.316788604006331,3.74791274744686,0.2204654557321682,5.211874010022416,0.0,0.0,7.03397508339394
2.0,10.0,1.9710144927536235,24.892857142857142,11.26086956521739,24.0,94.54351857142852,38.11463410144928,85.45065899999999,220.41113899206923,127.89621966926651,131.1617313975464,1.4098815457178209,1.204296445817432,1.0086343438482177,0.6505786573333333,1.047585044730953,402.30876542596656,0.0,142.74705277557777,0.0,0.6666666666666669,0.6297591405409239,0.6369071171721283,0.6692285650920384,0.0,0.0,1.0,0.0,0.0,0.0,3.9126713277903753,0.0,18.5,9.0,31.96930456849276,34.37951826211712,35.63929603989489,35.63929603989489,35.63929603989489,0.0,0.0,0.0,10.30076712495354,3.978155756103423,0.2652103837402281,4.92407835928668,0.0,0.0,7.558884356444445
2.0,2.0,2.121212121212121,23.323529411764707,12.383838383838384,8.2,87.76985629411763,41.872800494949495,23.545766999999994,209.77180406085608,146.2277982681248,72.46180515709952,1.347270233548047,1.2874591609118042,1.138936558410889,0.5616089506062667,0.9933796127146513,430.3054197387476,0.0,147.18921759011764,0.0,0.6262626262626263,0.5860360326266579,0.6145499324611884,0.6565539466521504,0.0,0.0,1.0,0.0,0.0,0.0,3.972797461577224,0.0,19.5,9.0,29.94399598942436,33.79606725516356,35.117274928023,35.117274928023,35.117274928023,0.0,0.0,0.0,10.30076712495354,3.994173354007283,0.2349513737651343,5.090293312401709,0.0,0.0,7.03397508339394
2.0,1.051282051282051,2.212962962962963,22.72972972972973,12.407407407407408,7.102564102564102,85.20684894594592,42.44718514814814,21.275110846153844,205.7820534616511,147.53338148498077,82.2532977619507,1.3142499862870212,1.2620571451810096,1.146195339923815,0.727209978105923,0.9686444465511872,444.3670304916422,0.0,149.28824592712232,0.0,0.6111111111111112,0.569639867158808,0.6061659881945858,0.6518009647371925,0.0,0.0,1.0,0.0,0.0,0.0,3.992955640589569,0.0,20.0,9.0,28.908879584409306,33.56636945841875,34.95920279175208,34.95920279175208,34.95920279175208,0.0,0.0,0.0,10.30076712495354,3.9968429536579264,0.2220468307587736,5.129528824036666,0.0,0.0,6.837134106
2.0,1.0333333333333334,2.213675213675214,22.225,12.0,8.283333333333333,83.02829269999998,40.86369850427349,24.7908977,202.4061106469392,144.78977389173548,104.6425876508162,1.2870002676735532,1.2408118229334364,1.1351335518903247,0.8871035053163332,0.9491410739512132,458.47319545837183,0.0,144.98478537809072,0.0,0.5982905982905985,0.5557661886860119,0.5990718815074605,0.6477792108091512,0.0,0.0,1.0,0.0,0.0,0.0,4.009128480095741,0.0,20.5,9.0,27.93241486943281,32.76040501675117,34.74525207307078,34.84863668845539,34.84863668845539,0.0,0.0,0.0,10.30076712495354,3.998177753483248,0.2104304080780657,5.1701288183340095,0.0,0.0,6.670576355897438
2.0,1.3043478260869563,2.1984126984126986,21.79069767441861,11.65079365079365,10.521739130434783,81.15372104651159,39.50642423809522,33.988794478260864,199.51244537718625,142.43811024038234,128.39987658088458,1.264129968122965,1.2227800788409589,1.1256520192901904,1.0365237493229271,0.9330217613165224,472.625033314641,0.0,150.57501425443627,0.0,0.5873015873015872,0.5438744642807585,0.5929912186327819,0.6443319931565442,0.0,0.0,1.0,0.0,0.0,0.0,4.022392942905659,0.0,21.0,9.0,27.024312060919883,31.860956918663867,34.5468332756364,34.775067875740255,34.775067875740255,0.0,0.0,0.0,10.30076712495354,3.9988451533959095,0.1999422576697954,5.187036582858334,0.0,0.0,6.52781257009525
2.0,1.5128205128205128,2.1703703703703705,21.41304347826087,11.348148148148148,10.76923076923077,79.52365873913038,38.33011987407405,35.693789307692285,197.00460214340032,140.40000174254297,132.26467507582836,1.244661861893951,1.2072840487614849,1.1174346910367412,1.0583912324663587,0.9194961234775902,486.8232921318308,0.0,150.17305140754578,0.0,0.5777777777777778,0.5335683031295386,0.5877213108080602,0.641344404524285,0.0,0.0,1.0,0.0,0.0,0.0,4.033469618755063,0.0,21.5,9.0,26.18454930631783,30.959126378696745,33.83844621558734,34.641068437809565,34.73066843780957,0.0,0.0,0.0,10.30076712495354,3.99917885335224,0.1904370882548685,5.1926095683723945,0.0,0.0,6.404083955733348
2.0,1.5172413793103448,2.145833333333333,21.081632653061224,11.083333333333334,10.39080459770115,78.09319589795918,37.30085355555556,34.26289994252873,194.8102393138375,138.61665680693352,130.15451725137626,1.2278893396043389,1.193823993436978,1.110244528814972,1.05259821829623,0.908001654712073,501.0684369352956,0.0,155.55500006558896,0.0,0.5694444444444443,0.5245504121222213,0.583110141461429,0.6387302644710579,0.0,0.0,1.0,0.0,0.0,0.0,4.042859000740598,0.0,22.0,9.0,25.40930446536895,30.087809816717687,33.03208904074916,34.50980020284475,34.70950547793562,0.0,0.0,0.0,10.30076712495354,3.999345703330405,0.1817884410604729,5.1981516677673145,0.0,0.0,6.295821418166681
2.0,1.4375,2.124183006535948,20.78846153846154,10.84967320261438,10.083333333333334,76.82778646153844,36.392677392156855,33.100302333333325,192.87403681716447,137.0431171578663,128.44001401900894,1.213288798618417,1.182023396988096,1.1039002680310588,1.047891394283,0.8981272202853468,515.36071466304,0.0,161.26099958107153,0.0,0.5620915032679739,0.5165934494687059,0.579041462626166,0.636423670306446,0.0,0.0,1.0,0.0,0.0,0.0,4.050919621438581,0.0,22.5,9.0,24.69342459254963,29.259621253624488,32.20984322214246,33.91975903407822,34.62795511250959,0.0,0.0,0.0,10.30076712495354,3.999429128319487,0.1738882229704124,5.203663221505842,0.0,0.0,6.200295649725506
2.0,2.5,2.0,23.47058823529412,11.114285714285714,8.25,88.41579711764705,36.605044409523806,25.40046075,209.77180406085608,136.9104777269269,70.07384879000772,1.4285068568315609,1.3017438845378315,1.0938300934102283,0.5683191917578333,0.9605299307060656,443.9925013399087,0.0,118.41262440925856,0.0,0.6262626262626262,0.5860360326266579,0.6145499324611884,0.6565539466521503,0.0,0.0,1.0,0.0,0.0,0.0,3.972797461577224,0.0,19.75,9.0,30.79500887327929,33.88021654613873,35.03312563704782,35.03312563704782,35.03312563704782,0.0,0.0,0.0,9.883888251797686,4.09648804732795,0.2409698851369382,5.102530558800511,0.0,0.0,7.03397508339394
2.0,1.0606060606060606,2.076923076923077,22.864864864864863,11.547008547008549,5.909090909090909,85.80041618918918,37.87681444444444,17.24212381818182,205.7820534616511,142.30554054118673,72.63369697811413,1.3775425051569448,1.3396711910801389,1.1205637902938117,0.6852024316403331,0.965588134900983,458.12161275422665,0.0,128.40617788711955,0.0,0.6111111111111112,0.569639867158808,0.6061659881945858,0.6518009647371925,0.0,0.0,1.0,0.0,0.0,0.0,3.992955640589569,0.0,20.25,9.0,30.09791206792164,33.65723260835817,34.88206594169151,34.88206594169151,34.88206594169151,0.0,0.0,0.0,9.883888251797686,4.156698371238768,0.2309276872910426,5.152930257547145,0.0,0.0,6.837134106
